Team,Player_Name,Numbers_Worn,Name_Variations,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,USG%,PTS/100,AST/100,REB/100,PTS_AST,TPC,TPC/G,TPC/100,CLUTCH_PTS,CLUTCH_PPG,CLUTCH_FGA,CLUTCH_FTA,CLUTCH_TS%,CLUTCH_USG,CLUTCH_GAMES,BPM,OBPM,DBPM,POSITION,ROLE,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV
Itchen College EABL,Ethan Round,6,Ethan Round,12,31.2,374.7,232.0,19.3,78.0,170.0,45.9,39.0,99.0,39.4,37.0,44.0,84.1,14.0,55.0,69.0,51.0,23.0,4.0,29.0,12.0,196.2,25.9,31.0,6.8,9.2,111,343.0,28.6,45.8,1,0.5,1,1,34.7,2.4,2,14.23,6.75,7.48,2.6,1.1,36.0,26.0,72.2,4.0,3.0,75,4.0,2.0,50,14.0,11.0,0.0,4.0,30.0,78.0,58.0
Copleston High School EABL,Matthew Liddamore,10,Matthew Liddamore,12,36.5,437.7,219.0,18.2,84.0,186.0,45.2,11.0,38.0,28.9,40.0,65.0,61.5,31.0,63.0,94.0,16.0,18.0,13.0,52.0,34.0,226.2,24.7,23.8,1.7,10.2,45,264.0,22.0,28.7,0,0.0,3,0,0.0,3.0,1,-3.82,-3.61,-0.21,3.8,1.7,77.0,44.0,57.1,2.0,0.0,0,1.0,0.0,0,29.0,14.0,0.0,9.0,41.0,54.0,48.0
City of London Academy - Southwark EABL,Andrew Nwokolo,15,Andrew Nwokolo,12,26.4,316.7,185.0,15.4,65.0,144.0,45.1,6.0,31.0,19.4,49.0,81.0,60.5,32.0,58.0,90.0,18.0,14.0,5.0,32.0,20.0,172.5,28.4,30.7,3.0,14.9,40,225.0,18.8,37.3,5,1.7,3,3,57.9,6.3,3,6.18,-0.27,6.46,4.1,2.5,74.0,46.0,62.2,3.0,2.0,66.7,0.0,0.0,0,8.0,18.0,0.0,6.0,42.0,33.0,56.0
Manchester Magic Academy EABL,Jack Walton,8,Jack Walton,12,30.9,371.1,181.0,15.1,70.0,139.0,50.4,30.0,67.0,44.8,11.0,14.0,78.6,4.0,43.0,47.0,84.0,20.0,0.0,31.0,8.0,165.3,21.7,23.9,11.1,6.2,180,361.0,30.1,47.6,6,3.0,2,1,123.0,2.4,2,8.3,1.98,6.32,1.9,1.2,34.0,25.0,73.5,18.0,8.0,44.4,4.0,2.0,50,19.0,10.0,0.0,2.0,18.0,41.0,45.0
Oaklands Wolves EABL,Liam Mcintosh,10,Liam Mcintosh,12,28.6,342.9,171.0,14.2,63.0,162.0,38.9,5.0,29.0,17.2,40.0,71.0,56.3,27.0,38.0,65.0,24.0,10.0,7.0,39.0,36.0,197.0,29.9,25.8,3.6,9.8,56,227.0,18.9,34.2,4,2.0,3,2,51.5,3.9,2,-2.23,-3.03,0.79,3.3,2.9,73.0,37.0,50.7,8.0,3.0,37.5,1.0,0.0,0,15.0,18.0,0.0,6.0,33.0,52.0,43.0
Oaklands Wolves EABL,Daniel Kostadinov,1,Daniel Kostadinov,12,29.6,355.4,163.0,13.6,55.0,167.0,32.9,43.0,123.0,35,10.0,11.0,90.9,11.0,34.0,45.0,9.0,12.0,0.0,16.0,19.0,169.8,24.8,23.7,1.3,6.6,17,180.0,15.0,26.2,3,1.5,3,0,50.0,4.0,2,1.36,0.81,0.55,2.7,3.5,5.0,3.0,60,19.0,5.0,26.3,10.0,4.0,40,6.0,5.0,0.0,5.0,32.0,12.0,33.0
SGS College EABL,Marcos Perez Tosca,6,Marcos Perez Tosca,12,27.5,330.0,152.0,12.7,54.0,125.0,43.2,28.0,63.0,44.4,16.0,20.0,80,10.0,28.0,38.0,35.0,12.0,2.0,33.0,18.0,150.5,22.1,22.2,5.1,5.5,83,235.0,19.6,34.3,0,0.0,2,0,0.0,2.0,2,-0.02,-0.37,0.35,2.1,1.5,21.0,12.0,57.1,15.0,6.0,40,0.0,0.0,0,21.0,11.0,0.0,1.0,23.0,16.0,32.0
Myerscough College EABL,Cesar Sanchez Falette,4/8,Cesar Sanchez Falette,12,25.6,307.7,148.0,12.3,50.0,127.0,39.4,14.0,51.0,27.5,34.0,59.0,57.6,23.0,49.0,72.0,35.0,24.0,2.0,41.0,29.0,164.1,26.7,24.0,5.7,11.7,117,265.0,22.1,43.0,0,0,0,0,0,0.0,0,5.29,-2.48,7.77,2.8,3.0,33.0,17.0,51.5,2.0,0.0,0,1.0,1.0,100,16.0,21.0,0.0,4.0,36.0,25.0,39.0
BMET City of Birmingham Rockets EABL,Philip Basioudis,10,Philip Basioudis,12,29.6,355.0,143.0,11.9,52.0,174.0,29.9,35.0,108.0,32.4,4.0,6.0,66.7,4.0,29.0,33.0,28.0,18.0,1.0,40.0,24.0,204.1,26.4,18.7,3.7,4.3,64,207.0,17.2,27.1,0,0.0,5,0,0.0,5.0,3,-7.18,-5.48,-1.7,2.2,3.4,11.0,7.0,63.6,23.0,6.0,26.1,5.0,2.0,40,23.0,13.0,0.0,4.0,7.0,18.0,16.0
City of London Academy - Southwark EABL,Daniel Banjoko,8,Daniel Banjoko,12,27.8,333.6,136.0,11.3,53.0,99.0,53.5,2.0,24.0,8.3,28.0,43.0,65.1,32.0,50.0,82.0,34.0,36.0,4.0,36.0,18.0,117.0,18.3,21.4,5.4,12.9,79,215.0,17.9,33.8,3,3.0,1,3,64.7,3.3,1,10.4,-0.21,10.61,3.0,2.3,46.0,37.0,80.4,3.0,2.0,66.7,0.0,0.0,0,16.0,10.0,0.0,10.0,29.0,45.0,50.0
Oaklands Wolves EABL,Dylan Gladstone,24,Dylan Gladstone,12,26.3,315.6,131.0,10.9,58.0,96.0,60.4,0.0,3.0,0,15.0,27.0,55.6,68.0,72.0,140.0,4.0,11.0,9.0,25.0,22.0,62.3,10.3,21.5,0.7,22.9,10,141.0,11.8,23.1,0,0,0,0,0,0.0,0,3.11,2.24,0.87,5.0,3.3,72.0,48.0,66.7,0.0,0.0,0,0.0,0.0,0,4.0,12.0,1.0,8.0,61.0,24.0,27.0
SGS College EABL,Martin Alburo,4/9,Martin Alburo,12,21.8,261.0,127.0,10.6,49.0,147.0,33.3,11.0,55.0,20,18.0,32.0,56.2,10.0,28.0,38.0,30.0,31.0,0.0,33.0,16.0,176.7,32.7,23.4,5.5,7.0,72,199.0,16.6,36.7,0,0.0,1,0,0.0,2.0,1,-1.29,-3.9,2.62,1.6,2.5,47.0,23.0,48.9,10.0,4.0,40,0.0,0.0,0,24.0,7.0,0.0,2.0,10.0,53.0,39.0
Copleston High School EABL,Callum Fobister,0/2/5,Callum Fobister,12,22.8,273.2,127.0,10.6,42.0,112.0,37.5,20.0,67.0,29.9,23.0,29.0,79.3,16.0,17.0,33.0,11.0,18.0,2.0,41.0,25.0,143.8,25.1,22.1,1.9,5.7,52,179.0,14.9,31.1,0,0,0,0,0,0.0,0,-5.3,-4.47,-0.82,2.5,2.0,12.0,9.0,75,5.0,3.0,60,0.0,0.0,0,20.0,16.0,1.0,4.0,14.0,18.0,31.0
HHS Reading Rockets EABL,Ethan Harrington,5,Ethan Harrington,12,27.0,324.0,126.0,10.5,51.0,112.0,45.5,8.0,30.0,26.7,16.0,24.0,66.7,12.0,51.0,63.0,21.0,19.0,3.0,28.0,29.0,133.0,21.0,19.8,3.3,9.9,45,171.0,14.2,26.8,0,0,0,0,0,0.0,0,-0.3,-4.21,3.91,3.3,2.5,29.0,17.0,58.6,9.0,3.0,33.3,1.0,1.0,100,10.0,13.0,0.0,5.0,4.0,25.0,25.0
HHS Reading Rockets EABL,Malachi Hassan-Taylor,10,Malachi Hassan-Taylor,12,28.9,346.2,123.0,10.2,47.0,141.0,33.3,17.0,66.0,25.8,12.0,25.0,48,6.0,42.0,48.0,23.0,22.0,6.0,33.0,13.0,171.8,25.4,18.0,3.4,7.0,51,174.0,14.5,25.5,3,3.0,1,0,150.0,1.0,1,-2.22,-5.12,2.89,2.8,3.3,22.0,10.0,45.5,6.0,5.0,83.3,2.0,2.0,100,19.0,10.0,0.0,4.0,3.0,29.0,18.0
SGS College EABL,Kevin Ramirez Mora,14,Kevin Ramirez Mora,12,24.2,290.9,117.0,9.8,45.0,91.0,49.5,9.0,27.0,33.3,18.0,24.0,75,40.0,67.0,107.0,17.0,14.0,19.0,22.0,34.0,80.2,13.3,19.4,2.8,17.7,43,160.0,13.3,26.5,0,0,0,0,0,0.0,0,2.22,-0.77,2.99,5.0,2.6,46.0,27.0,58.7,1.0,1.0,100,0.0,0.0,0,6.0,10.0,1.0,5.0,29.0,25.0,25.0
Copleston High School EABL,Noah Wilkinson,3/4/6,Noah Wilkinson,12,31.1,373.5,111.0,9.2,42.0,148.0,28.4,24.0,110.0,21.8,3.0,6.0,50,10.0,35.0,45.0,23.0,13.0,0.0,63.0,5.0,195.5,25.0,14.1,2.9,5.7,66,177.0,14.8,22.5,0,0.0,1,0,0.0,1.0,1,-12.18,-8.61,-3.56,2.3,3.2,11.0,6.0,54.5,0.0,0.0,0,1.0,0.0,0,39.0,19.0,0.0,5.0,16.0,13.0,17.0
Itchen College EABL,Benjamin Cope,3/5,Benjamin Cope,12,26.3,316.1,107.0,8.9,40.0,117.0,34.2,10.0,36.0,27.8,17.0,23.0,73.9,10.0,31.0,41.0,55.0,23.0,1.0,41.0,27.0,151.8,23.8,16.9,8.7,6.5,128,235.0,19.6,37.2,2,1.0,3,2,25.8,6.9,2,1.66,-3.74,5.39,1.7,3.0,30.0,12.0,40,3.0,2.0,66.7,0.0,0.0,0,20.0,15.0,0.0,6.0,12.0,31.0,27.0
City of London Academy - Southwark EABL,David Banjoko,12,David Banjoko,12,23.3,280.0,106.0,8.8,44.0,95.0,46.3,7.0,35.0,20,11.0,19.0,57.9,25.0,35.0,60.0,18.0,33.0,3.0,25.0,23.0,99.2,18.5,19.9,3.4,11.3,37,143.0,11.9,26.8,2,1.0,0,4,56.8,1.8,2,8.36,-1.89,10.25,3.0,3.3,33.0,20.0,60.6,5.0,3.0,60,0.0,0.0,0,4.0,13.0,1.0,7.0,24.0,36.0,41.0
Oaklands Wolves EABL,Enzo Da Cruz Fatuda,17/4,Enzo Da Cruz Fatuda,12,32.5,389.9,92.0,7.7,32.0,104.0,30.8,12.0,49.0,24.5,16.0,30.0,53.3,26.0,30.0,56.0,52.0,19.0,1.0,24.0,24.0,110.6,14.7,12.2,6.9,7.4,147,239.0,19.9,31.7,2,2.0,1,0,100.0,1.0,1,0.19,-1.68,1.88,1.8,3.0,29.0,11.0,37.9,12.0,6.0,50,1.0,1.0,100,14.0,7.0,0.0,3.0,11.0,16.0,17.0
Itchen College EABL,Thomas Blower,2/9,Thomas Blower,12,15.5,186.0,85.0,7.1,19.0,60.0,31.7,9.0,36.0,25,38.0,47.0,80.9,7.0,15.0,22.0,7.0,23.0,0.0,21.0,15.0,90.9,24.2,22.9,1.9,5.9,16,101.0,8.4,27.2,0,0,0,0,0,0.0,0,5.52,-2.43,7.96,2.1,3.7,8.0,4.0,50,4.0,2.0,50,0.0,0.0,0,12.0,7.0,0.0,2.0,13.0,13.0,19.0
HHS Reading Rockets EABL,James Waterhouse,13,James Waterhouse,12,24.7,295.9,80.0,6.7,32.0,68.0,47.1,1.0,8.0,12.5,15.0,23.0,65.2,29.0,41.0,70.0,7.0,9.0,12.0,32.0,35.0,77.9,13.5,13.7,1.2,12.0,11,91.0,7.6,15.6,0,0.0,1,0,0.0,1.0,1,-5.14,-7.59,2.45,4.8,3.8,33.0,16.0,48.5,1.0,1.0,100,1.0,0.0,0,17.0,10.0,0.0,5.0,18.0,7.0,23.0
Itchen College EABL,Javen Osei-Owusu,13/14,Javen Osei-Owusu,12,16.1,193.3,79.0,6.6,34.0,72.0,47.2,1.0,9.0,11.1,10.0,26.0,38.5,27.0,60.0,87.0,14.0,14.0,5.0,19.0,27.0,72.4,18.5,20.5,3.6,22.5,37,116.0,9.7,30.0,0,0,0,0,0,0.0,0,4.53,-2.1,6.63,5.0,3.7,36.0,22.0,61.1,1.0,1.0,100,0.0,0.0,0,6.0,5.0,0.0,8.0,29.0,23.0,29.0
Oaklands Wolves EABL,Huxley Morrell,14,Huxley Morrell,12,21.0,251.7,76.0,6.3,28.0,74.0,37.8,1.0,15.0,6.7,19.0,23.0,82.6,14.0,22.0,36.0,24.0,14.0,2.0,31.0,21.0,97.1,20.0,15.6,4.9,7.4,57,133.0,11.1,27.3,0,0,0,0,0,0.0,0,-2.58,-4.61,2.03,2.2,3.2,31.0,12.0,38.7,11.0,8.0,72.7,0.0,0.0,0,20.0,8.0,0.0,3.0,12.0,14.0,13.0
Itchen College EABL,Marley Edwards,11/12,Marley Edwards,12,9.9,119.2,75.0,6.2,34.0,57.0,59.6,0.0,0.0,0,7.0,14.0,50,21.0,12.0,33.0,4.0,0.0,4.0,9.0,9.0,49.1,20.4,31.5,1.7,13.9,14,89.0,7.4,37.4,0,0.0,1,2,0.0,1.9,1,5.85,2.79,3.06,4.7,2.8,37.0,25.0,67.6,1.0,0.0,0,0.0,0.0,0,8.0,0.0,0.0,1.0,29.0,23.0,19.0
BMET City of Birmingham Rockets EABL,George Angoy,13/6,George Angoy,12,28.4,340.5,72.0,6.0,30.0,85.0,35.3,6.0,25.0,24,6.0,9.0,66.7,20.0,28.0,48.0,33.0,23.0,2.0,19.0,31.0,84.4,11.4,9.8,4.5,6.5,69,141.0,11.8,19.2,2,1.0,2,0,50.0,3.0,2,-4.14,-5.34,1.2,2.4,3.7,26.0,12.0,46.2,10.0,5.0,50,0.0,0.0,0,13.0,5.0,0.0,1.0,15.0,22.0,22.0
Itchen College EABL,Elijah Lotriet,8,Elijah Lotriet,12,22.5,270.1,70.0,5.8,28.0,73.0,38.4,10.0,37.0,27,4.0,4.0,100,9.0,23.0,32.0,30.0,19.0,1.0,19.0,28.0,81.4,14.9,13.0,5.6,5.9,68,138.0,11.5,25.6,0,0.0,1,0,0.0,1.0,1,3.62,-3.1,6.72,2.2,3.7,17.0,7.0,41.2,3.0,2.0,66.7,0.0,0.0,0,14.0,3.0,0.0,2.0,10.0,22.0,29.0
SGS College EABL,Imam Toure,12,Imam Toure,12,22.0,264.1,68.0,5.7,31.0,70.0,44.3,0.0,4.0,0,6.0,14.0,42.9,16.0,45.0,61.0,3.0,5.0,14.0,28.0,30.0,84.6,15.5,12.4,0.5,11.1,7,75.0,6.2,13.7,1,1.0,0,2,56.8,1.9,1,-7.96,-8.81,0.85,4.8,4.5,41.0,21.0,51.2,6.0,1.0,16.7,0.0,0.0,0,7.0,12.0,3.0,6.0,20.0,4.0,7.0
Charnwood College Riders EABL,Pharrell Kattah,1/10,Pharrell Kattah,12,21.7,260.2,61.0,5.1,24.0,40.0,60,2.0,7.0,28.6,11.0,19.0,57.9,22.0,30.0,52.0,15.0,8.0,1.0,19.0,18.0,43.5,8.4,11.7,2.9,10.0,31,92.0,7.7,17.7,0,0,0,0,0,0.0,0,-0.34,-3.24,2.9,3.3,3.6,23.0,16.0,69.6,0.0,0.0,0,0.0,0.0,0,11.0,7.0,0.0,1.0,12.0,20.0,19.0
Myerscough College EABL,Ayo Ibirinde,13/32,Ayo Ibirinde,12,11.5,137.4,54.0,4.5,20.0,40.0,50,0.0,1.0,0,14.0,24.0,58.3,32.0,23.0,55.0,4.0,12.0,10.0,11.0,17.0,28.4,10.3,19.6,1.5,20.0,14,68.0,5.7,24.7,0,0,0,0,0,0.0,0,7.86,-0.15,8.01,4.9,4.0,25.0,14.0,56,2.0,2.0,100,0.0,0.0,0,0.0,7.0,0.0,4.0,22.0,8.0,11.0
Copleston High School EABL,Isaac Little,7,Isaac Little,12,28.9,346.4,52.0,4.3,22.0,74.0,29.7,1.0,17.0,5.9,7.0,21.0,33.3,23.0,73.0,96.0,35.0,23.0,11.0,45.0,44.0,101.0,13.9,7.1,4.8,13.2,80,132.0,11.0,18.1,0,0,0,0,0,0.0,0,-8.88,-10.46,1.58,3.5,3.3,21.0,10.0,47.6,1.0,0.0,0,0.0,0.0,0,30.0,11.0,0.0,4.0,11.0,12.0,11.0
Myerscough College EABL,Daniel Okhuoya,21,Daniel Okhuoya,12,8.5,102.1,51.0,4.2,23.0,47.0,48.9,1.0,16.0,6.2,4.0,7.0,57.1,14.0,17.0,31.0,7.0,9.0,0.0,9.0,11.0,43.3,21.2,25.0,3.4,15.2,17,68.0,5.7,33.3,0,0,0,0,0,0.0,0,7.22,-0.86,8.08,3.3,3.4,24.0,16.0,66.7,0.0,0.0,0,0.0,0.0,0,4.0,4.0,0.0,1.0,16.0,14.0,21.0
Oaklands Wolves EABL,Tristan Mcintosh,8,Tristan Mcintosh,12,14.8,177.0,51.0,4.2,16.0,45.0,35.6,9.0,30.0,30,10.0,11.0,90.9,8.0,8.0,16.0,17.0,5.0,0.0,22.0,17.0,61.3,18.0,14.9,5.0,4.7,35,86.0,7.2,25.1,0,0,0,0,0,0.0,0,-3.75,-3.88,0.13,2.1,3.1,9.0,4.0,44.4,1.0,0.0,0,0.0,0.0,0,12.0,7.0,0.0,3.0,8.0,6.0,10.0
HHS Reading Rockets EABL,Can Okumus,16/4,Can Okumus,12,17.6,210.8,50.0,4.2,18.0,51.0,35.3,4.0,10.0,40,10.0,17.0,58.8,8.0,18.0,26.0,26.0,11.0,1.0,27.0,11.0,74.4,18.1,12.1,6.3,6.3,51,101.0,8.4,24.3,0,0,0,0,0,0.0,0,-4.57,-6.56,2.0,2.1,2.8,14.0,6.0,42.9,0.0,0.0,0,0.0,0.0,0,19.0,5.0,0.0,3.0,0.0,8.0,17.0
Charnwood College Riders EABL,Tom Pearson,14/15/8,Tom Pearson,12,19.9,238.9,47.0,3.9,16.0,46.0,34.8,11.0,31.0,35.5,4.0,4.0,100,10.0,24.0,34.0,20.0,23.0,0.0,19.0,21.0,54.5,11.5,9.9,4.2,7.1,115,162.0,13.5,34.0,3,1.5,1,3,64.7,2.3,2,1.53,-4.2,5.73,2.1,3.7,10.0,5.0,50,1.0,0.0,0,0.0,0.0,0,8.0,6.0,1.0,4.0,6.0,6.0,9.0
Itchen College EABL,Richard Radu,10,Richard Radu,12,14.5,173.6,47.0,3.9,14.0,37.0,37.8,3.0,13.0,23.1,16.0,20.0,80,7.0,25.0,32.0,30.0,8.0,1.0,19.0,17.0,55.5,15.8,13.5,8.6,9.2,67,114.0,9.5,32.9,0,0,0,0,0,0.0,0,3.44,-3.01,6.45,2.5,2.8,7.0,3.0,42.9,1.0,0.0,0,0.0,0.0,0,14.0,4.0,0.0,1.0,4.0,14.0,8.0
City of London Academy - Southwark EABL,Dante Patel,5,Dante Patel,12,17.7,212.7,46.0,3.8,15.0,36.0,41.7,3.0,11.0,27.3,13.0,16.0,81.2,6.0,12.0,18.0,45.0,15.0,1.0,27.0,17.0,61.5,15.1,11.4,11.1,4.4,100,146.0,12.2,36.1,2,2.0,1,0,100.0,1.0,1,3.21,-3.83,7.04,1.2,1.9,13.0,7.0,53.8,4.0,3.0,75,0.0,0.0,0,18.0,5.0,0.0,4.0,8.0,14.0,11.0
Manchester Magic Academy EABL,Tiego Weekes,14,Tiego Weekes,12,7.3,87.8,43.0,3.6,18.0,30.0,60,0.0,1.0,0,7.0,14.0,50,5.0,18.0,23.0,6.0,4.0,0.0,9.0,16.0,38.6,21.4,24.0,3.3,12.8,9,52.0,4.3,29.0,0,0,0,0,0,0.0,0,-0.56,-6.65,6.09,4.0,3.2,20.0,12.0,60,2.0,1.0,50,0.0,0.0,0,3.0,5.0,0.0,1.0,8.0,15.0,10.0
BMET City of Birmingham Rockets EABL,Patrick Walsh,1/7/8,Patrick Walsh,12,12.2,145.9,40.0,3.3,13.0,44.0,29.5,10.0,30.0,33.3,4.0,11.0,36.4,1.0,16.0,17.0,7.0,7.0,0.0,16.0,8.0,61.3,19.3,12.7,2.2,5.4,21,61.0,5.1,19.4,0,0,0,0,0,0.0,0,-8.44,-7.42,-1.02,2.6,4.2,3.0,2.0,66.7,1.0,0.0,0,0.0,0.0,0,12.0,4.0,0.0,0.0,0.0,5.0,18.0
HHS Reading Rockets EABL,Joseph Mackinnon,14,Joseph Mackinnon,12,15.0,179.9,29.0,2.4,12.0,38.0,31.6,1.0,15.0,6.7,4.0,8.0,50,9.0,22.0,31.0,9.0,7.0,0.0,9.0,16.0,39.9,11.4,8.2,2.5,8.8,20,49.0,4.1,13.8,0,0,0,0,0,0.0,0,-5.41,-7.75,2.34,3.2,4.5,8.0,4.0,50,2.0,1.0,50,0.0,0.0,0,3.0,5.0,0.0,1.0,7.0,9.0,12.0
Myerscough College EABL,Fin Morgan,14,Fin Morgan,12,11.3,135.2,27.0,2.2,9.0,42.0,21.4,5.0,26.0,19.2,4.0,7.0,57.1,6.0,17.0,23.0,11.0,5.0,5.0,8.0,13.0,45.2,16.7,10.0,4.1,8.5,26,53.0,4.4,19.6,0,0,0,0,0,0.0,0,0.03,-6.4,6.43,3.2,4.7,6.0,3.0,50,2.0,1.0,50,0.0,0.0,0,4.0,4.0,0.0,0.0,5.0,0.0,5.0
City of London Academy - Southwark EABL,Alex Morentin,9,Alex Morentin,12,7.2,86.2,18.0,1.5,7.0,16.0,43.8,4.0,7.0,57.1,0.0,1.0,0,4.0,2.0,6.0,5.0,6.0,4.0,6.0,14.0,17.7,10.7,11.0,3.0,3.7,13,31.0,2.6,18.9,0,0,0,0,0,0.0,0,4.43,-4.94,9.37,3.0,4.0,7.0,3.0,42.9,1.0,1.0,100,0.0,0.0,0,1.0,2.0,0.0,3.0,2.0,2.0,3.0
